Company,Date,Time,Rocket,Mission,RocketStatus,MissionStatus,Day/Night Launch,Complex ID,Launch Site,Territory,Country
Martin Marietta,4/18/86,18:45:00,Titan 34D,KH-9,Retired,Failure,Night,SLC-4E,Vandenberg AFB,California,USA
General Dynamics,9/17/86,15:52:00,Atlas-E/F Star-37S-ISS,NOAA-G,Retired,Success,Day,SLC-3W,Vandenberg AFB,California,USA
General Dynamics,12/5/86,2:30:00,Atlas-G Centaur-D1AR,FLTSATCOM-7,Retired,Success,Night,SLC-36B,Cape Canaveral AFS,Florida,USA
Martin Marietta,2/12/87,0:00:00,Titan III(34)B Agena-D,Quasar 7,Retired,Success,Night,SLC-4W,Vandenberg AFB,California,USA
General Dynamics,3/26/87,21:22:00,Atlas-G Centaur-D1AR,FLTSATCOM-6,Retired,Failure,Night,SLC-36B,Cape Canaveral AFS,Florida,USA
General Dynamics,5/15/87,15:45:00,Atlas-H MSD,NOSS-9,Retired,Success,Day,SLC-3E,Vandenberg AFB,California,USA
General Dynamics,6/20/87,2:34:00,Atlas-E/F Star-37S-ISS,DMSP 5D-2/F8,Retired,Success,Night,SLC-3W,Vandenberg AFB,California,USA
Martin Marietta,10/26/87,21:32:00,Titan 34D,USA-27 (KH-11),Retired,Success,Night,SLC-4E,Vandenberg AFB,California,USA
Martin Marietta,11/29/87,3:27:00,Titan 34D,DSP-13,Retired,Success,Night,SLC-40,Cape Canaveral AFS,Florida,USA
General Dynamics,2/3/88,5:53:00,Atlas-E/F Star-37S-ISS,DMSP 5D-2/F9,Retired,Success,Night,SLC-3W,Vandenberg AFB,California,USA
Martin Marietta,9/2/88,12:05:00,Titan 34D,USA-31 (Vortex),Retired,Partial Failure,Day,SLC-40,Cape Canaveral AFS,Florida,USA
Martin Marietta,9/5/88,9:25:00,Titan II(23)G,USA-32,Retired,Success,Day,SLC-4W,Vandenberg AFB,California,USA
General Dynamics,9/24/88,10:02:00,Atlas-E/F Star-37S-ISS,NOAA-H,Retired,Success,Day,SLC-3W,Vandenberg AFB,California,USA
NASA,9/29/88,15:37:00,Space Shuttle Discovery,STS-26R,Retired,Success,Day,LC-39A,Kennedy Space Center,Florida,USA
Martin Marietta,11/6/88,18:03:00,Titan 34D,USA-33 (KH-11),Retired,Success,Night,SLC-4E,Vandenberg AFB,California,USA
